filename,title,url,filter_reason,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__23-doug--s-mega-cutting-routine.html__87fd1053da.html,Doug's 4 Day Mega Cutting Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/23-doug--s-mega-cutting-routine.html,Strict review #09: Older duplicate weights+cardio cut,fully equipped gym,fat loss,split,both,intermediate,4
workouts__24-doug---s-5-day-high-definition-routine.html__6bd7af2bb2.html,Doug's 5 Day High Definition Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/24-doug---s-5-day-high-definition-routine.html,Strict review #12: Older duplicate; kept the more complete modern 12-week program,fully equipped gym,fat loss,split,men,intermediate,5
workouts__25-doug--s-super-shredding-routine.html__21b74a0c10.html,5 Day Super Shredding Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/25-doug--s-super-shredding-routine.html,Strict review #10: Older duplicate 5-day cutting routine,fully equipped gym,fat loss,split,both,intermediate,5
workouts__26-doug--s-6-day-cutting-routine.html__08a7d7e956.html,Doug's 6 Day Cutting Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/26-doug--s-6-day-cutting-routine.html,Strict review #05: Older duplicate cutting routine with thin description; same audience as 10 Weeks to Shredded,fully equipped gym,fat loss,split,both,advanced,6
workouts__3-ab-workouts-build-8-pack__a3710dcc36.html,8 Pack Abs Workout: How To Get The Ultimate 8 Pack,https://www.muscleandstrength.com/workouts/3-ab-workouts-build-8-pack,Strict review #60: Abs listicle — overlaps single-muscle-group combos,home / small gym,general fitness,split,both,beginner,3
workouts__3-day-full-body-workout-for-busy-people__a8b25486af.html,3 Day Full Body Workout for Busy People,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-busy-people,Strict review #61: Time-gimmick duplicate,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-full-body-workout-for-tall-girls__5e3e211413.html,3 Day Full Body Workout for Tall Women,https://www.muscleandstrength.com/workouts/3-day-full-body-workout-for-tall-girls,Strict review #17: Tall-women variant — niche,fully equipped gym,muscle building,full body,women,beginner,3
workouts__3-day-fullbody-workout-alternative-tools.html__b033cbacbc.html,3 Day Fullbody Workout Using Alternative Tools | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-day-fullbody-workout-alternative-tools.html,Strict review #61: Unconventional tools niche,home / small gym,muscle building,full body,both,beginner,3
workouts__3-day-total-body-sculpting-workout__161880a479.html,3 Day Total Body Sculpting Circuit Workout Routine,https://www.muscleandstrength.com/workouts/3-day-total-body-sculpting-workout,Strict review #51: Duplicate circuit,home / small gym,fat loss,full body,both,beginner,3
workouts__3-day-workout-routine-and-diet-for-beginners__1b4c09609d.html,3 Day Workout Routine and Diet for Beginners,https://www.muscleandstrength.com/workouts/3-day-workout-routine-and-diet-for-beginners,Strict review #14: Duplicate generic beginner 3-day full body,fully equipped gym,muscle building,full body,both,beginner,3
workouts__3-introduction-to-bodybuilding-workout.html__e5e8f7e9cb.html,Introduction To Bodybuilding Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/3-introduction-to-bodybuilding-workout.html,Strict review #14: Duplicate beginner full body,fully equipped gym,muscle building,full body,both,beginner,3
workouts__30-leg-growth-workout---3-week-cycle.html__9ffb158d63.html,Leg Growth Workout - 3 Week Cycle | Muscle & Strength,https://www.muscleandstrength.com/workouts/30-leg-growth-workout---3-week-cycle.html,Strict review #18: Duplicate leg cycle,fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__31-the-big-arm-routine.html__a284125c40.html,Plateau-Busting Big Arm Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/31-the-big-arm-routine.html,Strict review #21: Duplicate arms,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__32-the-coconut-shoulders-workout-.html__f69daeef20.html,The Coconut Shoulders Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/32-the-coconut-shoulders-workout-.html,Strict review #21: Duplicate shoulders,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__33-the-giant-set-routine-.html__6802a01c6c.html,The Giant Set Routine! | Muscle & Strength,https://www.muscleandstrength.com/workouts/33-the-giant-set-routine-.html,Strict review #28: Older duplicate intense 3-day routine,fully equipped gym,muscle building,split,both,advanced,3
workouts__37-beginner-tricep-workout.html__387992586e.html,Beginner Tricep Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/37-beginner-tricep-workout.html,Strict review #19: Triceps-only; arms covered by biceps+triceps pick,fully equipped gym,muscle building,single muscle group,both,beginner,1
workouts__3d-muscle-drop-set-split__cddfd23a02.html,3D Muscle: A 3 Day Drop Set Workout Program,https://www.muscleandstrength.com/workouts/3d-muscle-drop-set-split,Strict review #35: Drop-set method duplicate,fully equipped gym,muscle building,split,both,intermediate,3
workouts__3day-hardcore-program.html__7470db567d.html,3 Day Hardcore Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/3day-hardcore-program.html,Strict review #35: Generic body-part duplicate,fully equipped gym,muscle building,split,both,intermediate,3
workouts__4-5-day-workout-for-building-muscle-and-strength__ec8750d8ab.html,4-5 Day Workout for Building Muscle & Strength,https://www.muscleandstrength.com/workouts/4-5-day-workout-for-building-muscle-and-strength,Strict review #49: Rebuild-phase duplicate,fully equipped gym,strength,split,both,intermediate,4
workouts__4-day-bodybuilding-split-by-shaun.html__8339fbb352.html,4 Day Bodybuilding Split by Shaun | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-bodybuilding-split-by-shaun.html,Strict review #36: Forum duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-maximum-mass-workout__1190206d23.html,4 Day Maximum Mass Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-maximum-mass-workout,Strict review #36: Generic mass duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-rp21-rest-pause-workout-system__18ded82e4f.html,4 Day Rest Pause RP-21 Muscle Building Workout System | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-rp21-rest-pause-workout-system,Strict review #36: Method duplicate (rest-pause covered),fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-supersets-timed-set-workout__847db2983a.html,4 Day Superset & Timed Set Muscle Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-supersets-timed-set-workout,Strict review #42: Timed-set method duplicate,fully equipped gym,muscle building,split,men,intermediate,4
workouts__4-day-upper-lower-workout-for-tall-girls__3aa1ae0d13.html,4 Day Upper/Lower Workout for Tall Girls,https://www.muscleandstrength.com/workouts/4-day-upper-lower-workout-for-tall-girls,Strict review #44: Tall-women niche,fully equipped gym,muscle building,split,women,beginner,4
workouts__4-day-workout-build-serious-mass__3a7e424e9e.html,4 Day Workout Program to Build Serious Mass,https://www.muscleandstrength.com/workouts/4-day-workout-build-serious-mass,Strict review #36: Generic mass duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__4-day-workout-to-build-muscle__e40b98ee48.html,3 Day Split + Full Body Fridays: 4 Day Workout Program to Build Muscle,https://www.muscleandstrength.com/workouts/4-day-workout-to-build-muscle,Strict review #39: Hybrid gimmick — duplicate audience,fully equipped gym,muscle building,split,men,advanced,4
workouts__4-week-beginner-workout-for-women__2dc4c2c724.html,Workout Routine for Women: 4 Week Beginner Plan,https://www.muscleandstrength.com/workouts/4-week-beginner-workout-for-women,Strict review #17: Duplicate: shorter version of same beginner women's plan,fully equipped gym,muscle building,full body,women,beginner,3
workouts__4-week-complete-kettlebell-ab-workout__6be87dfe65.html,4 Week Complete Kettlebell Ab & Core Workout,https://www.muscleandstrength.com/workouts/4-week-complete-kettlebell-ab-workout,"Strict review #57: Core-focused, overlaps single-muscle-group combos",home / small gym,general fitness,full body,both,beginner,3
workouts__4-week-v-taper-building-workout__5200387b3e.html,4 Week V-Taper Building Workout Routine,https://www.muscleandstrength.com/workouts/4-week-v-taper-building-workout,Strict review #25: Back+shoulders combo — overlaps the dedicated back and shoulder picks,fully equipped gym,muscle building,single muscle group,men,advanced,1
workouts__40-minute-abs-cardio-resistance-workout__a524e0b407.html,"40 Minute Blast - Abs, Cardio And Resistance Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/40-minute-abs-cardio-resistance-workout,Strict review #51: Duplicate dumbbell circuit,home / small gym,fat loss,full body,both,beginner,3
workouts__5-biceps-workout-routines-beginner-advanced__bcce28a1b3.html,5 Effective Biceps Workout Routines: Beginner To Advanced | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-biceps-workout-routines-beginner-advanced,"Strict review #69: Beginner-to-advanced routine collection, not one program",home / small gym,muscle building,split,both,beginner,1
workouts__5-crossfit-wods-general-conditioning__990e4a5ec7.html,5 Cross Training Workouts For General Conditioning | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-crossfit-wods-general-conditioning,"Strict review #52: Random WOD collection, not a program",home / small gym,fat loss,full body,both,beginner,5
workouts__5-day-muscle-and-strength-building-workout-split__bd8069d54d.html,5 Day Muscle & Strength Building Workout Split,https://www.muscleandstrength.com/workouts/5-day-muscle-and-strength-building-workout-split,Strict review #43: Duplicate strength+size concept,fully equipped gym,muscle building,split,men,intermediate,5
workouts__5-day-supersets-timed-set-workout__c424e70deb.html,5 Day Superset & Timed Set Muscle Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-day-supersets-timed-set-workout,Strict review #37: Timed-set method duplicate,fully equipped gym,muscle building,split,both,intermediate,5
workouts__5-fat-loss-workouts-cory-gregory-musclepharm__33b09d1feb.html,5 Fat Loss Workouts From Cory Gregory & MusclePharm | Muscle & Strength,https://www.muscleandstrength.com/workouts/5-fat-loss-workouts-cory-gregory-musclepharm,Strict review #06: Sponsor-branded collection of 5 workout variations — not a single followable program,fully equipped gym,fat loss,split,both,beginner,3
workouts__5-killer-summer-arm-workouts__fba090ecd5.html,5 Killer Arm Workouts for Tank Top Season,https://www.muscleandstrength.com/workouts/5-killer-summer-arm-workouts,Strict review #22: Arm workout collection — duplicate arms,fully equipped gym,muscle building,single muscle group,both,intermediate,2
workouts__5-minute-meltdown__f004ca3438.html,"Power Hour: The ""5 Minute Meltdown"" Pump n' Burn Workout",https://www.muscleandstrength.com/workouts/5-minute-meltdown,"Strict review #04: Generic fat-loss circuit, duplicates the standard 8-week option",fully equipped gym,fat loss,full body,both,beginner,3
workouts__50-rep-fat-loss-hiit-treadmill-kettlebell-workout__cfacb75dfd.html,50 Rep Fat Loss HIIT Treadmill And Kettlebell Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/50-rep-fat-loss-hiit-treadmill-kettlebell-workout,Strict review #51: Needs treadmill; duplicate kettlebell option,home / small gym,fat loss,full body,both,beginner,3
workouts__6-week-workout-program-to-build-lean-muscle__e788f04bcd.html,6 Week Workout Program to Build Lean Muscle,https://www.muscleandstrength.com/workouts/6-week-workout-program-to-build-lean-muscle,Strict review #36: Generic duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__7-intermediate-4-day-split-workout.html__4f4fbd87d1.html,Intermediate 4 Day Split Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/7-intermediate-4-day-split-workout.html,"Strict review #23: Misclassified: a general 4-day split, not single-muscle-group",fully equipped gym,muscle building,single muscle group,both,intermediate,4
workouts__8-week-back-blast-workout__d286e1636d.html,Back Blast! 8 Week Program to Build Your Back,https://www.muscleandstrength.com/workouts/8-week-back-blast-workout,Strict review #21: Duplicate back,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__8-week-beginner-workout-for-women__e6d10d47e9.html,8 Week Beginner Workout for Women,https://www.muscleandstrength.com/workouts/8-week-beginner-workout-for-women,Strict review #14: Women-specific program in a 'both' slot; women's combo exists separately,fully equipped gym,muscle building,full body,both,beginner,3
workouts__8-week-body-fat-demolition-workout__cac7404b34.html,Body Fat Demolition: 8 Week Workout to Destroy Body Fat,https://www.muscleandstrength.com/workouts/8-week-body-fat-demolition-workout,Strict review #10: Generic 8-week fat-loss duplicate,fully equipped gym,fat loss,split,both,intermediate,5
workouts__8-week-chest-back-workout-routine__7c70141a56.html,8 Week Chest And Back Specialization Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-chest-back-workout-routine,"Strict review #33: 2-day specialization, not a true 4-day program",fully equipped gym,muscle building,split,both,beginner,4
workouts__8-week-fat-incinerator-workout__bb250e4d7d.html,The Fat Incinerator: 8 Week Fat Burning Workout,https://www.muscleandstrength.com/workouts/8-week-fat-incinerator-workout,Strict review #10: Generic 8-week fat-loss duplicate,fully equipped gym,fat loss,split,both,intermediate,5
workouts__8-week-hiet-training__5883f1509c.html,Get Ripped in 8 Weeks! HIET Fat Loss Workout & Nutrition Program,https://www.muscleandstrength.com/workouts/8-week-hiet-training,Strict review #11: Duplicate weights+HIIT concept,fully equipped gym,fat loss,split,both,intermediate,6
workouts__8-week-high-volume-bicep-blaster__cbdf2d7596.html,8 Week High Volume Bicep Blaster Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-high-volume-bicep-blaster,Strict review #22: Duplicate arms (biceps-only),fully equipped gym,muscle building,single muscle group,both,intermediate,2
workouts__8-week-hit3-home-workout__4c52b711ba.html,HIT3 Training at Home: 8 Week Muscle-Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-hit3-home-workout,Strict review #73: Method-specific home variant — duplicate audience,home / small gym,muscle building,split,both,intermediate,3
workouts__8-week-hypertrophy-workout__2b75088809.html,8 Week Mass Building Hypertrophy Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-hypertrophy-workout,Strict review #36: Generic duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__8-week-knee-friendly-quad-workout__78d0586915.html,8-Week Knee-Friendly Quad Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-knee-friendly-quad-workout,Strict review #19: Niche quad variant,fully equipped gym,muscle building,single muscle group,both,beginner,1
workouts__8-week-muscle-building-bodyweight-workout__164e4f2db0.html,8 Week Muscle Building Bodyweight Workout,https://www.muscleandstrength.com/workouts/8-week-muscle-building-bodyweight-workout,Strict review #61: Bodyweight-centric — overlaps bodyweight category,home / small gym,muscle building,full body,both,beginner,3
workouts__8-week-out-angle-chest-workout__4b00f88a15.html,"8 Week ""Out-Angle"" Chest Workout Routine",https://www.muscleandstrength.com/workouts/8-week-out-angle-chest-workout,Strict review #19: Duplicate chest,fully equipped gym,muscle building,single muscle group,both,beginner,1
workouts__8-week-program-to-create-a-superhuman-chest__b5fdc5e6c0.html,8 Week Program to Create a Superhero Chest,https://www.muscleandstrength.com/workouts/8-week-program-to-create-a-superhuman-chest,Strict review #21: Duplicate chest,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__8-week-summer-shred__0306069a03.html,Shredded by Summer: 8 Weeks to Your Best Body Ever,https://www.muscleandstrength.com/workouts/8-week-summer-shred,"Strict review #08: Duplicate concept: generic summer shred, same as kept option",fully equipped gym,fat loss,split,both,intermediate,3
workouts__8-week-wheels-workout__763e12abb0.html,Wheels Workout: 8 Week Program to Build Your Legs,https://www.muscleandstrength.com/workouts/8-week-wheels-workout,Strict review #19: Duplicate legs,fully equipped gym,muscle building,single muscle group,both,beginner,1
workouts__8-week-workout-for-shredded-shoulders__057c0828f0.html,8 Week Program to Build Shredded Shoulders,https://www.muscleandstrength.com/workouts/8-week-workout-for-shredded-shoulders,Strict review #21: Duplicate shoulders,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__8-x-8-workout-lean-muscle__29280451d7.html,8x8 Workout: Lean Muscle Gainz Workout,https://www.muscleandstrength.com/workouts/8-x-8-workout-lean-muscle,Strict review #36: Volume-method duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__9-6-3-workout-system-muscle-size-strength__3c8e8c34d8.html,963 Workout System For Muscle Size And Strength | Muscle & Strength,https://www.muscleandstrength.com/workouts/9-6-3-workout-system-muscle-size-strength,Strict review #33: Generic system duplicate,fully equipped gym,muscle building,split,both,beginner,4
workouts__amrap-bodybuilding-workout-for-mass__a59f3e5825.html,The AMRAP Bodybuilding Workout for Muscle Mass,https://www.muscleandstrength.com/workouts/amrap-bodybuilding-workout-for-mass,Strict review #40: AMRAP gimmick duplicate,fully equipped gym,muscle building,split,men,advanced,5
workouts__animal-instincts-kurt-weidner-4-day-split-workout.html__5b01b8dad3.html,Animal Instincts - The Kurt Weidner 4 Day Split Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/animal-instincts-kurt-weidner-4-day-split-workout.html,Strict review #36: Athlete-branded duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__anti-hero-training-plan-big-brutal-muscle__6d14b9ee46.html,"The Anti-Hero Training Plan: Build Big, Brutal Muscle & Strength | Muscle & Strength",https://www.muscleandstrength.com/workouts/anti-hero-training-plan-big-brutal-muscle,Strict review #71: Duplicate barbell/DB plan,home / small gym,muscle building,split,both,beginner,4
workouts__arm-building-circuits-bicep-tricep-plateaus__2daa556a8b.html,Arm Building Circuits: Bust Through Bicep & Tricep Plateaus | Muscle & Strength,https://www.muscleandstrength.com/workouts/arm-building-circuits-bicep-tricep-plateaus,Strict review #19: Duplicate arms,fully equipped gym,muscle building,single muscle group,both,beginner,1
workouts__armergency-workout__d3953146eb.html,ARMergency: A Killer Arm Day Workout Program,https://www.muscleandstrength.com/workouts/armergency-workout,Strict review #18: Duplicate arm day (arms already covered),fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__back-day-burnout__0eb46b4841.html,The Back Day Burnout: A Big Thick Back Workout,https://www.muscleandstrength.com/workouts/back-day-burnout,Strict review #21: Duplicate back,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__balloon-arms-workout__ae4ceecb6b.html,Balloon Arms Workout By MusclePharm | Muscle & Strength,https://www.muscleandstrength.com/workouts/balloon-arms-workout,Strict review #63: Combined biceps+triceps — overlaps dedicated bicep and tricep picks,home / small gym,muscle building,single muscle group,both,beginner,1
workouts__batman-workout-routine__a1c7c11d96.html,Batman Workout Routine: 14 Week Superhero Workout,https://www.muscleandstrength.com/workouts/batman-workout-routine,Strict review #36: Superhero novelty,fully equipped gym,muscle building,split,both,intermediate,4
workouts__beat-the-crowded-gym-workout-program__555e41b242.html,Beat the Crowd: 4 Day Workout You Can Do in a Crowded Gym,https://www.muscleandstrength.com/workouts/beat-the-crowded-gym-workout-program,Strict review #09: Situational gimmick (crowded-gym workaround),fully equipped gym,fat loss,split,both,intermediate,4
workouts__beginner-fullbody-workout.html__52ed3674a9.html,Beginner Full-Body Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/beginner-fullbody-workout.html,Strict review #14: Duplicate beginner full body,fully equipped gym,muscle building,full body,both,beginner,3
workouts__beginner-long-cycle-muscle-strength-building-workout__fb0e074602.html,Long Cycle Beginner Muscle And Strength Building Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/beginner-long-cycle-muscle-strength-building-workout,Strict review #45: Duplicate beginner strength program,fully equipped gym,strength,full body,both,beginner,3
workouts__best-chest-workout-for-inner-chest-development__00f242c53a.html,The Best Chest Workout for Inner Chest Development,https://www.muscleandstrength.com/workouts/best-chest-workout-for-inner-chest-development,Strict review #26: Inner-chest niche; chest covered,fully equipped gym,muscle building,single muscle group,men,intermediate,1
workouts__best-shoulder-workout-youve-never-tried__2ad97d33af.html,The Best Shoulder Workout You've Never Tried,https://www.muscleandstrength.com/workouts/best-shoulder-workout-youve-never-tried,Strict review #63: Duplicate shoulders,home / small gym,muscle building,single muscle group,both,beginner,1
workouts__best-weekly-split-for-maximum-muscle-gains__2c1f227f01.html,The Best Weekly Split for Maximum Muscle Gains,https://www.muscleandstrength.com/workouts/best-weekly-split-for-maximum-muscle-gains,Strict review #38: Generic split duplicate,fully equipped gym,muscle building,split,both,intermediate,6
workouts__big-bold-brutal-muscle-building-workout__c2e2dfe213.html,"8 Week Big And Bold Workout: Simple, Brutal Muscle Building | Muscle & Strength",https://www.muscleandstrength.com/workouts/big-bold-brutal-muscle-building-workout,Strict review #42: Generic duplicate,fully equipped gym,muscle building,split,men,intermediate,4
workouts__bigger-better-arms-workout-30-days__95c117c08d.html,Growin' Guns: Bigger and Better Arms in 30 Days,https://www.muscleandstrength.com/workouts/bigger-better-arms-workout-30-days,Strict review #18: Duplicate arm program,fully equipped gym,muscle building,single muscle group,both,advanced,1
workouts__blue-print-leaner-muscular-body__c2b42a4b49.html,"Your Complete Blue Print For A Leaner, More Muscular Body | Muscle & Strength",https://www.muscleandstrength.com/workouts/blue-print-leaner-muscular-body,Strict review #70: Vague flexible-schedule plan,home / small gym,muscle building,split,both,beginner,3
workouts__body-fat-blaster-8-week-workout__7a37fbc83c.html,The Body Fat Blaster: 8 Weeks to a Ripped Physique,https://www.muscleandstrength.com/workouts/body-fat-blaster-8-week-workout,Strict review #10: Generic 8-week fat-loss duplicate,fully equipped gym,fat loss,split,both,intermediate,5
workouts__branch-warren-olympia-workout-diet-plan__6a229ab326.html,Branch Warren's Pre Olympia Workout & Sample Diet Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/branch-warren-olympia-workout-diet-plan,Strict review #40: Pro-bodybuilder pre-contest feature — competition niche,fully equipped gym,muscle building,split,men,advanced,5
workouts__brutality-squat-deadlift-workout__e406b65ef3.html,Brutality: A Squat & Deadlift Centered Muscle Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/brutality-squat-deadlift-workout,Strict review #74: Squat/deadlift specialization niche,home / small gym,muscle building,split,both,intermediate,4
workouts__build-bigger-chest__64de808b59.html,Build a Bigger Chest With This Intense Mass Building Workout,https://www.muscleandstrength.com/workouts/build-bigger-chest,Strict review #21: Duplicate chest,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__build-bigger-upper-body-workout__b58b493466.html,"Build A Bigger Upper Body: Back, Shoulders And Traps Workout | Muscle & Strength",https://www.muscleandstrength.com/workouts/build-bigger-upper-body-workout,Strict review #19: Multi-muscle combo (back/shoulders/traps) — overlaps back pick,fully equipped gym,muscle building,single muscle group,both,beginner,1
workouts__build-own-crossfit-daily-workout__deec919e18.html,Build Your Own Cross Training Daily Workouts | Muscle & Strength,https://www.muscleandstrength.com/workouts/build-own-crossfit-daily-workout,Strict review #51: Random-generator gimmick,home / small gym,fat loss,full body,both,beginner,3
workouts__build-wider-back__f8d615df55.html,2 Best Exercises For Building a Wide Back (Workout Included),https://www.muscleandstrength.com/workouts/build-wider-back,"Strict review #34: Two-exercise article, not a full 5-day program",fully equipped gym,muscle building,split,both,beginner,5
workouts__building-bigger-pecs-4-workouts-chest-size__9a21835181.html,Building Bigger Pecs: 4 Workouts For Improved Chest Size | Muscle & Strength,https://www.muscleandstrength.com/workouts/building-bigger-pecs-4-workouts-chest-size,Strict review #21: Duplicate chest collection,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__bulldozer-training-4-day-mini-dozer-workout-split__6cef25b218.html,"Bulldozer Training 4 Day ""Mini-Dozer"" Workout Split | Muscle & Strength",https://www.muscleandstrength.com/workouts/bulldozer-training-4-day-mini-dozer-workout-split,Strict review #36: Bulldozer variant duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__bulldozer-training-4-day-workout-split__7488370108.html,Bulldozer Training 4 Day Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/bulldozer-training-4-day-workout-split,Strict review #36: Bulldozer duplicate,fully equipped gym,muscle building,split,both,intermediate,4
workouts__burn-to-grow-quad-workout__e3c2074021.html,Burn-to-Grow Quad Workout Routine,https://www.muscleandstrength.com/workouts/burn-to-grow-quad-workout,Strict review #21: Duplicate quads (legs covered),fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__cable-only-arm-workout.html__32408da253.html,Cable Only Bicep And Tricep Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/cable-only-arm-workout.html,Strict review #21: Cable-only arms — minor equipment variant of arms pick,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__calorie-destroyer-12-week-hiit-workout__3f4ef3e6cb.html,The Calorie Destroyer: 12 Week Full Body HIIT Workout and Meal Plan | Muscle & Strength,https://www.muscleandstrength.com/workouts/calorie-destroyer-12-week-hiit-workout,Strict review #51: Duplicate HIIT program,home / small gym,fat loss,full body,both,beginner,3
workouts__cannonball-delts-ultimate-shoulder-workout-program__a3b1afd5a9.html,Cannonball Delts: The Ultimate 12 Week Shoulder Building Program,https://www.muscleandstrength.com/workouts/cannonball-delts-ultimate-shoulder-workout-program,Strict review #21: Duplicate shoulders,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__cardio-and-weights-workout.html__5798e4a210.html,Cardio And Weights Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/cardio-and-weights-workout.html,Strict review #51: Duplicate circuit,home / small gym,fat loss,full body,both,beginner,3
