filename,title,url,filter_reason,equipment,fitness_goal,workout_type,gender,training_level,days_per_week
workouts__brie-larson-workout-routine__fcc8b9bd61.html,Brie Larson Inspired Workout: Train Like Captain Marvel,https://www.muscleandstrength.com/workouts/brie-larson-workout-routine,Celebrity/movie character novelty.,fully equipped gym,strength,split,women,intermediate,4
workouts__calisthenics-workout-to-improve-performance__4cb9e7e233.html,Calisthenics for Lifters: 12 Week Workout to Improve Performance | Muscle & Strength,https://www.muscleandstrength.com/workouts/calisthenics-workout-to-improve-performance,Calisthenics program.,body weight,fat loss,full body,both,beginner,2
workouts__chris-evans-workout-program__d1caf4eac7.html,Chris Evans Inspired Workout Program: Train Like Captain America,https://www.muscleandstrength.com/workouts/chris-evans-workout-program,Celebrity/movie character novelty.,home / small gym,muscle building,split,men,intermediate,4
workouts__chris-pratt-workout-program__480cdb34c0.html,Chris Pratt Inspired Workout: Train Like Guardians of the Galaxy’s Star Lord,https://www.muscleandstrength.com/workouts/chris-pratt-workout-program,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,men,intermediate,5
workouts__core-strength-blueprint-1__a1f7f98ca3.html,Core Strength Blueprint Workout v1.1 With Coach Myers | Muscle & Strength,https://www.muscleandstrength.com/workouts/core-strength-blueprint-1,Versioned series (v1.1).,home / small gym,strength,full body,both,intermediate,4
workouts__core-strength-blueprint-2__46e313a8a7.html,Core Strength Blueprint Workout v1.2 With Coach Myers | Muscle & Strength,https://www.muscleandstrength.com/workouts/core-strength-blueprint-2,Versioned series (v1.2).,home / small gym,strength,full body,both,intermediate,4
workouts__core-strength-blueprint-3__de833dc1a8.html,Core Strength Blueprint Workout v1.3 With Coach Myers | Muscle & Strength,https://www.muscleandstrength.com/workouts/core-strength-blueprint-3,Versioned series (v1.3).,home / small gym,strength,full body,both,intermediate,4
workouts__countdown-fitness-calisthenics-bodyweight-workout__791341e726.html,Countdown To Fitness: A Calisthenics And Bodyweight Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/countdown-fitness-calisthenics-bodyweight-workout,Calisthenics program.,body weight,general fitness,full body,both,beginner,3
workouts__creed-workout-program__d159fb3d76.html,Adonis Creed Inspired Workout: Shred Fat like a Contender,https://www.muscleandstrength.com/workouts/creed-workout-program,Movie character novelty.,fully equipped gym,fat loss,split,men,advanced,6
workouts__daisy-ridley-last-jedi-inspired-workout-program__29c24c110e.html,The Daisy Ridley Inspired Workout Program,https://www.muscleandstrength.com/workouts/daisy-ridley-last-jedi-inspired-workout-program,Celebrity-inspired novelty.,home / small gym,general fitness,full body,both,beginner,7
workouts__dave-bautista-workout-program__3574d30043.html,Dave Bautista Inspired Workout Program: Train Like Drax the Destroyer,https://www.muscleandstrength.com/workouts/dave-bautista-workout-program,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,men,advanced,6
workouts__density-giant-set-training-v2__4542339754.html,Density Giant Set Training v2.0: Stronger And Leaner | Muscle & Strength,https://www.muscleandstrength.com/workouts/density-giant-set-training-v2,Versioned series (v2.0).,fully equipped gym,fat loss,split,both,intermediate,4
workouts__eugen-sandow-workout__80b7302e6e.html,Bodybuilding Icons: Eugen Sandow Inspired Workout Routine,https://www.muscleandstrength.com/workouts/eugen-sandow-workout,Historical figure tribute/novelty.,fully equipped gym,muscle building,full body,both,beginner,4
workouts__football-strength-workout.html__a4d00b088f.html,3 Day Whole Body Football Strength Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/football-strength-workout.html,Sport-specific (football).,fully equipped gym,strength,full body,both,intermediate,3
workouts__george-hackenschmidt-inspired-workout__57bb5f0f39.html,Bodybuilding Icons: George Hackenschmidt Inspired Workout,https://www.muscleandstrength.com/workouts/george-hackenschmidt-inspired-workout,Historical figure tribute/novelty.,fully equipped gym,muscle building,split,both,beginner,3
workouts__henry-cavill-workout__9bd7cdca7c.html,Hollywood Muscle: Henry Cavill Inspired Workout Routine,https://www.muscleandstrength.com/workouts/henry-cavill-workout,Hollywood celebrity novelty.,fully equipped gym,strength,split,both,intermediate,4
workouts__hugh-jackman-workout-routine__d92f9464fc.html,"Hugh Jackman's Workout: Strong, Lean & Powerful",https://www.muscleandstrength.com/workouts/hugh-jackman-workout-routine,Celebrity-named novelty.,fully equipped gym,muscle building,split,men,intermediate,4
workouts__in-season-workout-routine-for-basketball-players__73890c572f.html,Basketball Workouts: In-Season Workout Routine for Players,https://www.muscleandstrength.com/workouts/in-season-workout-routine-for-basketball-players,Sport-specific (basketball).,fully equipped gym,general fitness,full body,both,beginner,2
workouts__jason-momoa-accelerated-results-7-program__19e243fb3e.html,Jason Momoa's Workout: Accelerated Results 7 (AR-7) Training Routine,https://www.muscleandstrength.com/workouts/jason-momoa-accelerated-results-7-program,Celebrity-named novelty.,fully equipped gym,muscle building,full body,both,intermediate,5
workouts__john-grimek-workout__5eb339385e.html,Bodybuilding Icons: John Grimek Inspired Workout,https://www.muscleandstrength.com/workouts/john-grimek-workout,Historical figure tribute/novelty.,fully equipped gym,muscle building,full body,both,beginner,3
workouts__michael-b-jordan-workout-program__81bd61a512.html,Michael B. Jordan Inspired Workout: Train Like Black Panther's Killmonger,https://www.muscleandstrength.com/workouts/michael-b-jordan-workout-program,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,men,intermediate,5
workouts__myers-30-day-shred__d4c058e325.html,Coach Myers's Top 3 New Year Shreds Workouts,https://www.muscleandstrength.com/workouts/myers-30-day-shred,New Year themed + coach-named.,fully equipped gym,fat loss,split,both,beginner,3
workouts__myers-top-core-exercises__76172c2be8.html,Build Core Strength! Coach Myers' Top 5 Exercises For Core Stability,https://www.muscleandstrength.com/workouts/myers-top-core-exercises,"Top 5 exercise list, not a program.",home / small gym,strength,single muscle group,both,intermediate,3
workouts__off-season-baseball-strength-workout.html__76342b9762.html,Off-Season Baseball Strength Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/off-season-baseball-strength-workout.html,Sport-specific (baseball).,fully equipped gym,strength,full body,both,intermediate,3
workouts__olympian-branch-warren-leg-workout__498bcaa49c.html,Train Like An Olympian: Branch Warren's Leg Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/olympian-branch-warren-leg-workout,Bodybuilder competition-specific.,fully equipped gym,muscle building,single muscle group,both,intermediate,1
workouts__paul-rudd-workout__751532b566.html,Paul Rudd Inspired Workout: Over 40 & Ripped Like Ant-Man,https://www.muscleandstrength.com/workouts/paul-rudd-workout,Celebrity/movie character novelty.,home / small gym,muscle building,full body,both,beginner,3
workouts__reg-park-inspired-workout__dfe719ac3a.html,Bodybuilding Icons: Reg Park Inspired Workout & Training,https://www.muscleandstrength.com/workouts/reg-park-inspired-workout,Historical figure tribute/novelty.,home / small gym,muscle building,full body,both,beginner,3
workouts__robert-downey-jr-workout__143f1124bb.html,Robert Downey Jr Inspired Workout Program: Train Like Iron Man | Muscle & Strength,https://www.muscleandstrength.com/workouts/robert-downey-jr-workout,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,men,beginner,4
workouts__ryan-reynolds-deadpool-inspired-workout__d48140480b.html,Ryan Reynolds Inspired Workout: Train Like Deadpool,https://www.muscleandstrength.com/workouts/ryan-reynolds-deadpool-inspired-workout,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,men,intermediate,7
workouts__scarlett-johansson-workout-program__0f978fff7a.html,Scarlett Johansson Inspired Workout Routine: Train Like Black Widow | Muscle & Strength,https://www.muscleandstrength.com/workouts/scarlett-johansson-workout-program,Celebrity/movie character novelty.,fully equipped gym,fat loss,full body,women,intermediate,7
workouts__steel-core-mma-abs-workout-routine__d369bc1757.html,Steel Core MMA Abs Workout Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/steel-core-mma-abs-workout-routine,MMA-specific training.,home / small gym,general fitness,single muscle group,both,beginner,3
workouts__stephen-amell-arrow-workout__af83e9f77d.html,Stephen Amell’s Arrow Workout: Strength & Functional Training,https://www.muscleandstrength.com/workouts/stephen-amell-arrow-workout,TV character novelty.,fully equipped gym,strength,full body,both,intermediate,3
workouts__sylvester-stallone-workout__0012ce0cf4.html,Hollywood Muscle: Sylvester Stallone Inspired Workout Routine,https://www.muscleandstrength.com/workouts/sylvester-stallone-workout,Hollywood celebrity novelty.,fully equipped gym,muscle building,split,both,advanced,6
workouts__tactical-tabata__8f26425426.html,Tactical Tabata: 30 Day High Intensity Workout,https://www.muscleandstrength.com/workouts/tactical-tabata,Designed by Army trainer. Military-themed.,body weight,fat loss,full body,both,beginner,6
workouts__thor-ragnarok-chris-hemsworth-inspired-workout__194e8bb4c0.html,Chris Hemsworth Inspired Workout Program: Train Like Thor,https://www.muscleandstrength.com/workouts/thor-ragnarok-chris-hemsworth-inspired-workout,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,both,intermediate,5
workouts__tom-hardy-venom-workout__425ff8634e.html,Tom Hardy Inspired Workout: Train Like Venom,https://www.muscleandstrength.com/workouts/tom-hardy-venom-workout,Celebrity/movie character novelty.,fully equipped gym,muscle building,split,men,intermediate,5
workouts__toughest-fitness-challenge__76883794f9.html,The Toughest Fitness Challenge Most Lifters Can't Complete,https://www.muscleandstrength.com/workouts/toughest-fitness-challenge,Gimmick fitness challenge.,home / small gym,muscle building,full body,both,intermediate,3
workouts__train-like-a-superhero-full-body-workout__d20147adff.html,Train Like a Superhero: 8 Week Full Body Workout,https://www.muscleandstrength.com/workouts/train-like-a-superhero-full-body-workout,Superhero-themed novelty.,fully equipped gym,fat loss,full body,both,intermediate,3
workouts__vernon-davis-push-pull-superset-workout__bae0207974.html,Push-Pull Superset Workout Ft. NFL Tight End Vernon Davis,https://www.muscleandstrength.com/workouts/vernon-davis-push-pull-superset-workout,NFL athlete featured. Sport-specific.,fully equipped gym,muscle building,split,both,intermediate,4
workouts__vts-complete-venom-training-system__03336cb7ce.html,VTS - The Complete Venom Training System Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/vts-complete-venom-training-system,Venom (Marvel) themed branding.,fully equipped gym,muscle building,split,both,intermediate,5
workouts__zac-efron-workout__d1bc0fdf0e.html,Hollywood Muscle: Zac Efron Inspired Workout Routine,https://www.muscleandstrength.com/workouts/zac-efron-workout,Hollywood celebrity novelty.,fully equipped gym,fat loss,split,both,intermediate,6
