canonical_name,slug,used_in_n_workout_slots,cal_per_hr_150lb,cal_15min_150lb,met_estimate,calorie_source,match_type,match_score,fitclick_name,fitclick_eqID,fitclick_url,fitclick_category,fitclick_muscle,exercise_url
Tricep Dip,tricep-dip,40,238,60,3.33,fitclick_match,fuzzy_low,0.67,Triceps Bench Dips,111,https://www.fitclick.com/exercises_Triceps_Bench_Dips?eqID=111,Triceps,Triceps,https://www.muscleandstrength.com/exercises/tricep-dip.html
Romanian Deadlift,romanian-deadlift,39,510,128,7.14,fitclick_match,exact,1.0,Romanian Deadlift,326,https://www.fitclick.com/exercises_Romanian_Deadlift?eqID=326,Thighs,Biceps Femoris (Hamstrings),https://www.muscleandstrength.com/exercises/romanian-deadlift
Bent Over Dumbbell Reverse Fly,bent-over-dumbbell-reverse-fly,39,391,98,5.48,fitclick_match,fuzzy,0.8,Bent Over Lateral Raise,7144,https://www.fitclick.com/exercises_Bent_Over_Lateral_Raise?eqID=7144,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/bent-over-dumbbell-reverse-fly.html
Hammer Curl,standing-hammer-curl,39,306,76,4.29,fitclick_match,exact,1.0,Standing Hammer Curls,3339,https://www.fitclick.com/exercises_Standing_Hammer_Curls?eqID=3339,Biceps,Biceps,https://www.muscleandstrength.com/exercises/standing-hammer-curl.html
Bulgarian Split Squat,one-leg-dumbbell-squat-aka-bulgarian-squat,39,476,119,6.67,fitclick_match,exact,1.0,Dumbbell Split Squats,204,https://www.fitclick.com/exercises_Dumbbell_Split_Squats?eqID=204,Thighs,Thighs,https://www.muscleandstrength.com/exercises/one-leg-dumbbell-squat-aka-bulgarian-squat.html
Dumbbell Flys,dumbbell-flys,38,408,102,5.71,fitclick_match,exact,1.0,Flat Bench Dumbbell Flyes,35,https://www.fitclick.com/exercises_Flat_Bench_Dumbbell_Flyes?eqID=35,Chest,Pectorals,https://www.muscleandstrength.com/exercises/dumbbell-flys.html
Hyperextension,hyperextension,35,238,60,3.33,fitclick_match,exact,1.0,Back Extensions,119,https://www.fitclick.com/exercises_Back_Extensions?eqID=119,Lower Back,Spinal Erectors,https://www.muscleandstrength.com/exercises/hyperextension.html
Weighted Crunch,weighted-crunch,35,340,85,4.76,fitclick_match,exact,1.0,Weighted Crunch,323,https://www.fitclick.com/exercises_Weighted_Crunch?eqID=323,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/weighted-crunch.html
Walking Lunge,dumbbell-walking-lunge,34,493,123,6.9,fitclick_match,exact,1.0,Dumbbell Lunges,29,https://www.fitclick.com/exercises_Dumbbell_Lunges?eqID=29,Thighs,Thighs,https://www.muscleandstrength.com/exercises/dumbbell-walking-lunge.html
Front Squat,front-squat,32,476,119,6.67,fitclick_match,exact,1.0,Front Squats,38,https://www.fitclick.com/exercises_Front_Squats?eqID=38,Thighs,Quadriceps,https://www.muscleandstrength.com/exercises/front-squat.html
Dumbbell Lunge,dumbbell-lunge,32,493,123,6.9,fitclick_match,exact,1.0,Dumbbell Lunges,29,https://www.fitclick.com/exercises_Dumbbell_Lunges?eqID=29,Thighs,Thighs,https://www.muscleandstrength.com/exercises/dumbbell-lunge.html
Upright Row,upright-row,31,374,94,5.24,fitclick_match,exact,1.0,Barbell Upright Rows,8,https://www.fitclick.com/exercises_Barbell_Upright_Rows?eqID=8,Trapezius,Trapezius,https://www.muscleandstrength.com/exercises/upright-row.html
Standing Dumbbell Press,standing-dumbbell-press,31,442,110,6.19,fitclick_match,exact,1.0,Standing Dumbbell Press,338,https://www.fitclick.com/exercises_Standing_Dumbbell_Press?eqID=338,Shoulders,Deltoids,https://www.muscleandstrength.com/exercises/standing-dumbbell-press.html
Weighted Sit Up,sit-up,30,340,85,4.76,fitclick_match,exact,1.0,Sit-Ups,92,https://www.fitclick.com/exercises_Sit_Ups?eqID=92,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/sit-up.html
Incline Dumbbell Curl,incline-dumbbell-curl,30,340,85,4.76,fitclick_match,exact,1.0,Incline Dumbbell Curls,45,https://www.fitclick.com/exercises_Incline_Dumbbell_Curls?eqID=45,Biceps,Biceps,https://www.muscleandstrength.com/exercises/incline-dumbbell-curl.html
Inverted Row,smith-machine-bodyweight-row,29,374,94,5.24,fitclick_match,exact,1.0,Inverted Row,419,https://www.fitclick.com/exercises_Inverted_Row?eqID=419,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/smith-machine-bodyweight-row.html
Skullcrushers,ez-bar-skullcrusher,28,408,102,5.71,fitclick_match,exact,1.0,Dumbbell Lying Triceps Extensions,1159,https://www.fitclick.com/exercises_Dumbbell_Lying_Triceps_Extensions?eqID=1159,Triceps,Triceps,https://www.muscleandstrength.com/exercises/ez-bar-skullcrusher.html
Squat Jumps,bodyweight-jump-squat,28,510,128,7.14,fitclick_match,fuzzy_low,0.67,Dumbbell Jump Squat,360,https://www.fitclick.com/exercises_Dumbbell_Jump_Squat?eqID=360,Thighs,Thighs,https://www.muscleandstrength.com/exercises/bodyweight-jump-squat.html
Close Grip Push Up,close-grip-push-up,28,442,110,6.19,fitclick_match,fuzzy_low,0.6,Elevated Push Ups,6548,https://www.fitclick.com/exercises_Elevated_Push_Ups?eqID=6548,Chest,Pectorals,https://www.muscleandstrength.com/exercises/close-grip-push-up.html
Chest Dip,chest-dip,28,425,106,5.95,fitclick_match,manual,1.0,Parallel-Bar Dips,74,https://www.fitclick.com/exercises_Parallel_Bar_Dips?eqID=74,Chest,Pectorals,https://www.muscleandstrength.com/exercises/chest-dip.html
Skullcrusher,lying-tricep-extension,27,340,85,4.76,fitclick_match,exact,1.0,Lying Triceps Extensions,55,https://www.fitclick.com/exercises_Lying_Triceps_Extensions?eqID=55,Triceps,Triceps,https://www.muscleandstrength.com/exercises/lying-tricep-extension.html
Hip Thrust,barbell-hip-thrust,26,9,2,0.13,fitclick_match,exact,1.0,hip thrust,3095,https://www.fitclick.com/exercises_hip_thrust?eqID=3095,Cardio,Other/Miscellaneous,https://www.muscleandstrength.com/exercises/barbell-hip-thrust
Cable Crunch,cable-crunch,26,272,68,3.81,fitclick_match,exact,1.0,Cable Crunches,13,https://www.fitclick.com/exercises_Cable_Crunches?eqID=13,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/cable-crunch.html
Sumo Deadlifts,sumo-deadlift,26,459,115,6.43,fitclick_match,exact,1.0,Sumo Deadlift,359,https://www.fitclick.com/exercises_Sumo_Deadlift?eqID=359,Back,Spinal Erectors,https://www.muscleandstrength.com/exercises/sumo-deadlift
Barbell Shoulder Press,seated-shoulder-press,25,408,102,5.71,fitclick_match,fuzzy,0.75,Barbell Shoulder Press: Underhand,7233,https://www.fitclick.com/exercises_Barbell_Shoulder_Press_Underhand?eqID=7233,Shoulders,Deltoids,https://www.muscleandstrength.com/exercises/seated-shoulder-press.html
Seated Leg Curl,seated-leg-curl,25,408,102,5.71,fitclick_match,exact,1.0,Seated Leg Curls,810,https://www.fitclick.com/exercises_Seated_Leg_Curls?eqID=810,Thighs,Thighs,https://www.muscleandstrength.com/exercises/seated-leg-curl
Side Plank,side-hover,24,408,102,5.71,fitclick_match,exact,1.0,Side Plank,768,https://www.fitclick.com/exercises_Side_Plank?eqID=768,Abdominals,Obliques,https://www.muscleandstrength.com/exercises/side-hover.html
Ab Wheels or Barbell Rollout,abdominal-barbell-rollouts,23,289,72,4.05,fitclick_match,exact,1.0,Barbell Rollout,109,https://www.fitclick.com/exercises_Barbell_Rollout?eqID=109,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/abdominal-barbell-rollouts.html
Pec Dec,pec-dec,23,340,85,4.76,fitclick_match,fuzzy_low,0.67,Machine Wide Fly,5307,https://www.fitclick.com/exercises_Machine_Wide_Fly?eqID=5307,Chest,Pectorals,https://www.muscleandstrength.com/exercises/pec-dec.html
Hack Squat,hack-squat,22,476,119,6.67,fitclick_match,exact,1.0,Hack Squats,40,https://www.fitclick.com/exercises_Hack_Squats?eqID=40,Thighs,Outer Quadriceps,https://www.muscleandstrength.com/exercises/hack-squat.html
Cable Curl,cable-curl,21,323,81,4.52,fitclick_match,exact,1.0,Cable Curls,28,https://www.fitclick.com/exercises_Cable_Curls?eqID=28,Biceps,Biceps,https://www.muscleandstrength.com/exercises/cable-curl.html
Bicycle Crunch,abdominal-air-bike,21,255,64,3.57,fitclick_match,exact,1.0,Bicycle Crunches,11,https://www.fitclick.com/exercises_Bicycle_Crunches?eqID=11,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/abdominal-air-bike.html
Incline Dumbbell Fly,incline-dumbbell-flys,20,306,76,4.29,fitclick_match,fuzzy,0.8,Incline Bench Reverse Dumbbell Fly,3772,https://www.fitclick.com/exercises_Incline_Bench_Reverse_Dumbbell_Fly?eqID=3772,Back,Rear Deltoids,https://www.muscleandstrength.com/exercises/incline-dumbbell-flys.html
Cable Face Pull,cable-face-pull,20,374,94,5.24,fitclick_match,exact,1.0,Face Pull,351,https://www.fitclick.com/exercises_Face_Pull?eqID=351,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/cable-face-pull
Oblique Crunch,side-crunch,19,306,76,4.29,fitclick_match,fuzzy_low,0.67,Bosu Oblique Crunch,3762,https://www.fitclick.com/exercises_Bosu_Oblique_Crunch?eqID=3762,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/side-crunch.html
Barbell Shrug,barbell-shrug,19,374,94,5.24,fitclick_match,exact,1.0,Barbell Shrugs,7,https://www.fitclick.com/exercises_Barbell_Shrugs?eqID=7,Trapezius,Trapezius,https://www.muscleandstrength.com/exercises/barbell-shrug.html
Weighted Pull Ups/Weighted Dips (Superset),weighted-pull-up,19,544,136,7.62,fitclick_match,fuzzy_low,0.67,Pull Up (Palms Away),2937,https://www.fitclick.com/exercises_Pull_Up_Palms_Away_?eqID=2937,Cardio,Home Activities,https://www.muscleandstrength.com/exercises/weighted-pull-up
EZ Bar Curl,ez-bar-curl,18,374,94,5.24,fitclick_match,fuzzy,1.0,EZ Curl Bar Curls,219,https://www.fitclick.com/exercises_EZ_Curl_Bar_Curls?eqID=219,Biceps,Biceps,https://www.muscleandstrength.com/exercises/ez-bar-curl.html
Leg Press Calf Raise,45-degress-calf-press,18,289,72,4.05,fitclick_match,fuzzy_low,0.6,Single-Leg Calf Press,4093,https://www.fitclick.com/exercises_Single_Leg_Calf_Press?eqID=4093,Calves,Soleus,https://www.muscleandstrength.com/exercises/45-degress-calf-press.html
Machine Shoulder Press,machine-shoulder-press,17,272,68,3.81,fitclick_match,exact,1.0,Machine Shoulder Press,64,https://www.fitclick.com/exercises_Machine_Shoulder_Press?eqID=64,Shoulders,Deltoids,https://www.muscleandstrength.com/exercises/machine-shoulder-press
Preacher Curl,dumbbell-preacher-curl,17,272,68,3.81,fitclick_match,fuzzy_low,0.67,Machine Preacher Curls,61,https://www.fitclick.com/exercises_Machine_Preacher_Curls?eqID=61,Biceps,Biceps,https://www.muscleandstrength.com/exercises/dumbbell-preacher-curl.html
Walking Lunges,bodyweight-walking-lunge,17,391,98,5.48,fitclick_match,manual,1.0,Walking Lunges without Weight,539,https://www.fitclick.com/exercises_Walking_Lunges_without_Weight?eqID=539,Thighs,Thighs,https://www.muscleandstrength.com/exercises/bodyweight-walking-lunge.html
Glute Bridge,barbell-glute-bridge,17,306,76,4.29,fitclick_match,fuzzy_low,0.67,TRX Glute Bridge,4504,https://www.fitclick.com/exercises_TRX_Glute_Bridge?eqID=4504,Back,Spinal Erectors,https://www.muscleandstrength.com/exercises/barbell-glute-bridge
Bodyweight Glute Bridge,bodyweight-glute-bridge,17,306,76,4.29,fitclick_match,fuzzy_low,0.67,TRX Glute Bridge,4504,https://www.fitclick.com/exercises_TRX_Glute_Bridge?eqID=4504,Back,Spinal Erectors,https://www.muscleandstrength.com/exercises/bodyweight-glute-bridge
Kettlebell Swing,kettlebell-swing,17,408,102,5.71,fitclick_match,exact,1.0,Kettlebell Swing,4464,https://www.fitclick.com/exercises_Kettlebell_Swing?eqID=4464,Cardio,Drills/Plyometrics,https://www.muscleandstrength.com/exercises/kettlebell-swing
Underhand Bent Over Row,reverse-grip-bent-over-row,17,408,102,5.71,fitclick_match,fuzzy_low,0.6,Bent-Over Barbell Rows,10,https://www.fitclick.com/exercises_Bent_Over_Barbell_Rows?eqID=10,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/reverse-grip-bent-over-row.html
Decline Sit Ups,decline-situp,17,340,85,4.76,fitclick_match,fuzzy_low,0.67,Sit-Ups,92,https://www.fitclick.com/exercises_Sit_Ups?eqID=92,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/decline-situp.html
Dumbbell Side Bends,dumbbell-side-bends,17,272,68,3.81,fitclick_match,exact,1.0,Dumbbell Side Bends,32,https://www.fitclick.com/exercises_Dumbbell_Side_Bends?eqID=32,Abdominals,Obliques,https://www.muscleandstrength.com/exercises/dumbbell-side-bends.html
Two Arm Seated Dumbbell Extension,two-arm-dumbbell-extension,16,272,68,3.81,fitclick_match,fuzzy_low,0.6,One-Dumbbell Triceps Extensions,72,https://www.fitclick.com/exercises_One_Dumbbell_Triceps_Extensions?eqID=72,Triceps,Triceps,https://www.muscleandstrength.com/exercises/two-arm-dumbbell-extension.html
Reverse Lunge,dumbbell-rear-lunge,16,408,102,5.71,fitclick_match,exact,1.0,Dumbbell Reverse Lunge,850,https://www.fitclick.com/exercises_Dumbbell_Reverse_Lunge?eqID=850,Thighs,Gluteus Maximus,https://www.muscleandstrength.com/exercises/dumbbell-rear-lunge.html
EZ Bar Preacher Curl,ez-bar-preacher-curl,16,340,85,4.76,fitclick_match,exact,1.0,EZ Bar Preacher Curls,5176,https://www.fitclick.com/exercises_EZ_Bar_Preacher_Curls?eqID=5176,Biceps,Biceps,https://www.muscleandstrength.com/exercises/ez-bar-preacher-curl.html
T-Bar Row,bent-over-row,16,408,102,5.71,fitclick_match,exact,1.0,T-Bar Rows,106,https://www.fitclick.com/exercises_T_Bar_Rows?eqID=106,Back,Latissimus Dorsi,https://www.muscleandstrength.com/exercises/bent-over-row.html
Tricep Kickback,tricep-kickback,16,408,102,5.71,fitclick_match,fuzzy_low,0.67,Cable Triceps Kickbacks,3264,https://www.fitclick.com/exercises_Cable_Triceps_Kickbacks?eqID=3264,Triceps,Triceps,https://www.muscleandstrength.com/exercises/tricep-kickback.html
Feet Elevated Push-Ups,decline-push-up,16,442,110,6.19,fitclick_match,fuzzy,0.75,Elevated Push Ups,6548,https://www.fitclick.com/exercises_Elevated_Push_Ups?eqID=6548,Chest,Pectorals,https://www.muscleandstrength.com/exercises/decline-push-up
Single Leg Calf Raises,one-leg-standing-calf-raise,16,289,72,4.05,fitclick_match,fuzzy_low,0.6,Single-Leg Calf Press,4093,https://www.fitclick.com/exercises_Single_Leg_Calf_Press?eqID=4093,Calves,Soleus,https://www.muscleandstrength.com/exercises/one-leg-standing-calf-raise.html
Dumbbell Floor Press,dumbbell-floor-press,16,408,102,5.71,fitclick_match,exact,1.0,Dumbbell Floor Press,358,https://www.fitclick.com/exercises_Dumbbell_Floor_Press?eqID=358,Chest,Pectorals,https://www.muscleandstrength.com/exercises/dumbbell-floor-press.html
Bench Dip,tricep-bench-dip,15,238,60,3.33,fitclick_match,exact,1.0,Triceps Bench Dips,111,https://www.fitclick.com/exercises_Triceps_Bench_Dips?eqID=111,Triceps,Triceps,https://www.muscleandstrength.com/exercises/tricep-bench-dip.html
Mountain Climbers,rotating-mountain-climber,15,466,116,6.53,fitclick_match,exact,1.0,Mountain Climbers,422,https://www.fitclick.com/exercises_Mountain_Climbers?eqID=422,Abdominals,Rectus Abdominis,https://www.muscleandstrength.com/exercises/rotating-mountain-climber
Arnold Press,standing-arnold-press,15,374,94,5.24,fitclick_match,manual,1.0,Dumbbell Arnold Shoulder Press,2762,https://www.fitclick.com/exercises_Dumbbell_Arnold_Shoulder_Press?eqID=2762,Shoulders,Deltoids,https://www.muscleandstrength.com/exercises/standing-arnold-press.html
Dumbbell Step Up,dumbbell-step-up,15,408,102,5.71,fitclick_match,exact,1.0,Step-Ups,442,https://www.fitclick.com/exercises_Step_Ups?eqID=442,Thighs,Thighs,https://www.muscleandstrength.com/exercises/dumbbell-step-up.html
Seated Lateral Raise,seated-dumbbell-lateral-raise,15,272,68,3.81,fitclick_match,fuzzy,0.75,Lateral Dumbbell Raises,51,https://www.fitclick.com/exercises_Lateral_Dumbbell_Raises?eqID=51,Shoulders,Medial Deltoids,https://www.muscleandstrength.com/exercises/seated-dumbbell-lateral-raise.html
Concentration Curl,concentration-cur,14,357,89,5.0,fitclick_match,exact,1.0,Concentration Curls,18,https://www.fitclick.com/exercises_Concentration_Curls?eqID=18,Biceps,Biceps,https://www.muscleandstrength.com/exercises/concentration-cur.html
Alternating Dumbbell Curls,alternating-standing-dumbbell-curl,14,357,89,5.0,fitclick_match,fuzzy_low,0.6,Standing Dumbbell Curls,511,https://www.fitclick.com/exercises_Standing_Dumbbell_Curls?eqID=511,Biceps,Biceps,https://www.muscleandstrength.com/exercises/alternating-standing-dumbbell-curl.html
Lunges,bodyweight-lunge,14,476,119,6.67,fitclick_match,exact,1.0,Forward Lunges,417,https://www.fitclick.com/exercises_Forward_Lunges?eqID=417,Thighs,Thighs,https://www.muscleandstrength.com/exercises/bodyweight-lunge.html
Machine Preacher Curl,bicep-machine-curl,14,272,68,3.81,fitclick_match,exact,1.0,Machine Preacher Curls,61,https://www.fitclick.com/exercises_Machine_Preacher_Curls?eqID=61,Biceps,Biceps,https://www.muscleandstrength.com/exercises/bicep-machine-curl.html
