id,title,category,equipment,fitness_goal,workout_type,gender,training_level,days_per_week,program_duration_weeks,time_per_workout,author,num_sections,num_exercises,has_video,has_pdf,url
12-week-womens-bikini-prep-workout,12 Week Women's Bikini Prep Workout Program,program,fully equipped gym,fat loss,split,women,intermediate,5,12,30-90 minutes,Traisha Martin,4,22,False,True,https://www.muscleandstrength.com/workouts/12-week-womens-bikini-prep-workout
15-min-burner,The 15 Min Burner: 4 Day Fat Loss Workout Program,full_workout,home / small gym,fat loss,split,both,beginner,4,12,15 minutes,M&S Team,4,16,False,True,https://www.muscleandstrength.com/workouts/15-min-burner
15-minute-core-conditioning-workout,15-Minute Core Conditioning Workout You Can Do Anywhere,focused,body weight,general fitness,single muscle group,both,beginner,3,8,15 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,5,False,True,https://www.muscleandstrength.com/workouts/15-minute-core-conditioning-workout
15-minute-total-body-beatdown,The 15 Minute Total Body Beatdown,full_workout,home / small gym,muscle building,full body,both,intermediate,1,,,"Coach Dustin Myers, CSCS",2,7,True,False,https://www.muscleandstrength.com/workouts/15-minute-total-body-beatdown
18-week-bench-press-peaking-cycle,18 Week Bench Press Peaking Cycle,focused,fully equipped gym,strength,single muscle group,both,intermediate,1,18,60-75 minutes,Steve Shaw,1,5,False,True,https://www.muscleandstrength.com/workouts/18-week-bench-press-peaking-cycle
18-week-chin-up-dip-program-upper-body,18 Week Chin Up & Dip Program For An Impressive Upper Body,focused,home / small gym,muscle building,single muscle group,both,beginner,4,18,75-90 minutes,Fitman,1,6,False,False,https://www.muscleandstrength.com/workouts/18-week-chin-up-dip-program-upper-body
2-day-intense-workout,2 Day Intense Fat Loss & Muscle Tone Workout,full_workout,fully equipped gym,fat loss,full body,both,intermediate,2,4,60-75 minutes,M&S Writers,2,47,False,True,https://www.muscleandstrength.com/workouts/2-day-intense-workout.html
2-day-simple-ab-split-by-steve,2 Day Simple A/B Split by Steve,full_workout,home / small gym,muscle building,full body,both,beginner,2,8,30-45 minutes,Steve Shaw,2,10,False,True,https://www.muscleandstrength.com/workouts/2-day-simple-ab-split-by-steve.html
2-week-deload-program,2-Week Deload Workout Program,program,fully equipped gym,general fitness,split,both,beginner,4,2,60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,20,False,True,https://www.muscleandstrength.com/workouts/2-week-deload-program
2-weekly-workouts-for-larger-legs,2 Weekly Workouts for Larger Legs,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,2,8,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",2,8,False,True,https://www.muscleandstrength.com/workouts/2-weekly-workouts-for-larger-legs
20-6-day-weight-cardio-cutting-workout,Fat Blaster: 6 Day Weight/Cardio Cutting Workout,program,fully equipped gym,fat loss,split,both,intermediate,6,1,30-45 minutes,M&S Writers,3,20,False,True,https://www.muscleandstrength.com/workouts/20-6-day-weight-cardio-cutting-workout.html
20-minute-hiit-workout,20 Minute HIIT Workout You Can Do Anywhere,full_workout,body weight,fat loss,full body,both,beginner,2,6,20 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,9,False,True,https://www.muscleandstrength.com/workouts/20-minute-hiit-workout
20-rep-quad-hamstring-shock-workout,20 Rep Quad & Hamstring Shock Workout,focused,fully equipped gym,muscle building,single muscle group,men,intermediate,1,4,45-60 minutes,Steve Shaw,1,9,False,True,https://www.muscleandstrength.com/workouts/20-rep-quad-hamstring-shock-workout
22-4-day-split-bodybuilding-split-routine,4 Day Split Bodybuilding Split Routine,full_workout,fully equipped gym,muscle building,split,both,advanced,4,8,45-60 minutes,M&S Writers,4,29,False,True,https://www.muscleandstrength.com/workouts/22-4-day-split-bodybuilding-split-routine.html
27-home-based-ab-workout,Home-Based Ab Workout,focused,body weight,muscle building,single muscle group,both,beginner,3,6,20 minutes,M&S Writers,3,9,False,True,https://www.muscleandstrength.com/workouts/27-home-based-ab-workout.html
28-plateau-busting-chest-workout,4 Week Plateau Busting Chest Workout,focused,fully equipped gym,muscle building,single muscle group,both,advanced,1,4,30-45 minutes,M&S Writers,4,18,False,True,https://www.muscleandstrength.com/workouts/28-plateau-busting-chest-workout.html
29-ab-workout-to-increase-ab-size-,Ab Workout To Increase Ab Size,focused,fully equipped gym,muscle building,single muscle group,both,advanced,2,6,15-30 minutes,M&S Writers,2,8,False,True,https://www.muscleandstrength.com/workouts/29-ab-workout-to-increase-ab-size-.html
3-day-PPL-workout-for-beginners,3 Day Push/Pull/Legs (PPL) Workout for Beginners,full_workout,fully equipped gym,strength,split,both,beginner,3,10,60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,18,False,True,https://www.muscleandstrength.com/workouts/3-day-PPL-workout-for-beginners
3-day-at-home-womens-workout,3 Day (At Home) Women's Workout Routine,full_workout,home / small gym,fat loss,full body,women,beginner,3,4,30-45 minutes,Josh England,3,21,False,True,https://www.muscleandstrength.com/workouts/3-day-at-home-womens-workout
3-day-dumbbell-only-workout-for-women,3 Day Full Body Women's Dumbbell Only Workout,program,home / small gym,muscle building,full body,women,beginner,3,8,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,24,False,True,https://www.muscleandstrength.com/workouts/3-day-dumbbell-only-workout-for-women
3-day-full-body-dumbbell-workout,Dumbbell Only Workout: 3 Day Full Body Dumbbell Workout,full_workout,home / small gym,muscle building,full body,both,beginner,3,8,45 minutes,Josh England,3,21,False,True,https://www.muscleandstrength.com/workouts/3-day-full-body-dumbbell-workout
3-day-full-body-kettlebell-workout,3 Day Full Body Beginner Kettlebell Workout,full_workout,home / small gym,muscle building,full body,both,beginner,3,4,20-45 minutes,Josh England,3,15,False,True,https://www.muscleandstrength.com/workouts/3-day-full-body-kettlebell-workout
3-day-kettlebell-bodyweight,3 Day Kettlebell and Bodyweight Workout,program,home / small gym,fat loss,split,both,beginner,3,4,45 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,18,False,True,https://www.muscleandstrength.com/workouts/3-day-kettlebell-bodyweight
3-day-power-muscle-burn,3 Day Power Muscle Burn Workout Split,full_workout,fully equipped gym,muscle building,split,both,intermediate,3,8,30-45 minutes,Steve Shaw,3,31,False,True,https://www.muscleandstrength.com/workouts/3-day-power-muscle-burn
3-day-whole-body-toning-workout,3 Day Full Body Toning Workout for Women,full_workout,fully equipped gym,muscle building,full body,both,intermediate,3,4,30 minutes,M&S Writers,3,20,False,True,https://www.muscleandstrength.com/workouts/3-day-whole-body-toning-workout.html
3-giant-sets-for-giant-arms,3 Giant Sets to Build Giant Arms,focused,fully equipped gym,muscle building,single muscle group,men,intermediate,1,6,30 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,12,False,True,https://www.muscleandstrength.com/workouts/3-giant-sets-for-giant-arms
3-week-muscular-back-building,3 Week Muscular Back Building Rotation,program,fully equipped gym,muscle building,split,both,beginner,1,3,30-45 minutes,Steve Shaw,3,12,False,True,https://www.muscleandstrength.com/workouts/3-week-muscular-back-building
3-week-pump-tacular-pecs-workout,Pump-Tacular Pecs: 3 Week Workout to Pump Up Your Chest,focused,fully equipped gym,muscle building,single muscle group,men,advanced,1,3,45-70 minutes,Eric Broser,3,12,False,True,https://www.muscleandstrength.com/workouts/3-week-pump-tacular-pecs-workout
300-rise-new-you-workout-muscular-ripped,300 Workout: The Rise Of A New You! A Plan To Get Muscular & Ripped,full_workout,home / small gym,general fitness,full body,both,beginner,4,12,30-45 minutes,Brad Borland,4,38,False,True,https://www.muscleandstrength.com/workouts/300-rise-new-you-workout-muscular-ripped
34-beginner-shoulder-workout,Beginner Shoulder Workout,focused,home / small gym,muscle building,single muscle group,both,beginner,1,6,20-30 minutes,Doug Lawrenson,1,4,False,True,https://www.muscleandstrength.com/workouts/34-beginner-shoulder-workout.html
35-beginner-chest-workout,Beginner Chest Workout,focused,fully equipped gym,muscle building,single muscle group,both,beginner,1,6,15-30 minutes,Doug Lawrenson,1,3,False,True,https://www.muscleandstrength.com/workouts/35-beginner-chest-workout.html
36-8-week-intense-back-workout,8 Week Intense Back Workout,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,1,8,30-45 minutes,M&S Writers,4,14,False,True,https://www.muscleandstrength.com/workouts/36-8-week-intense-back-workout.html
38-beginner-leg-workout,Beginner Leg Workout,focused,fully equipped gym,muscle building,single muscle group,both,beginner,1,6,20-30 minutes,Doug Lawrenson,1,4,False,True,https://www.muscleandstrength.com/workouts/38-beginner-leg-workout.html
39-beginner-bicep-workout,Beginner Bicep Workout,focused,home / small gym,muscle building,single muscle group,both,beginner,1,6,10-15 minutes,Doug Lawrenson,1,2,False,True,https://www.muscleandstrength.com/workouts/39-beginner-bicep-workout.html
3day-beginners-workout,3 Day Muscle Building Workout For Beginners,full_workout,fully equipped gym,muscle building,split,both,beginner,3,10,30 minutes,M&S Writers,3,13,False,True,https://www.muscleandstrength.com/workouts/3day-beginners-workout.html
4-day-advanced-upper-lower-workout-program-to-build-mass,4 Day Advanced Upper/Lower Workout Program to Build Mass,full_workout,fully equipped gym,muscle building,split,men,advanced,4,12,50-75 minutes,Josh England,4,36,False,True,https://www.muscleandstrength.com/workouts/4-day-advanced-upper-lower-workout-program-to-build-mass
4-day-at-home-womens-workout,4 Day (At Home) Women's Workout Routine,full_workout,home / small gym,general fitness,full body,women,beginner,4,8,30-40 minutes,M&S Team,4,28,False,True,https://www.muscleandstrength.com/workouts/4-day-at-home-womens-workout
4-day-barbell-only-workout,4 Day Barbell Only Workout (No Rack Required),full_workout,home / small gym,muscle building,split,both,intermediate,4,8,60-90 minutes,Laura Rinke,4,26,False,True,https://www.muscleandstrength.com/workouts/4-day-barbell-only-workout
4-day-machine-only-workout,Machine Only Workout: 4 Day Workout Split,full_workout,fully equipped gym,muscle building,split,both,beginner,4,6,30-60 minutes,M&S Team,4,21,False,True,https://www.muscleandstrength.com/workouts/4-day-machine-only-workout
4-day-power-muscle-burn-workout-split,4 Day Power Muscle Burn Workout Split,full_workout,fully equipped gym,muscle building,split,both,intermediate,4,12,60 minutes,Steve Shaw,4,28,False,True,https://www.muscleandstrength.com/workouts/4-day-power-muscle-burn-workout-split.html
4-day-ppl-and-v-taper-intensifier-workout,4 Day Muscle Building Workout: PPL Split w/ V Taper Intensifier,full_workout,fully equipped gym,muscle building,split,both,intermediate,4,8,45-70 minutes,Josh England,4,21,False,True,https://www.muscleandstrength.com/workouts/4-day-ppl-and-v-taper-intensifier-workout
4-day-shred-cycle-workout,4 Day Shred Cycle Fat Loss Workout,full_workout,fully equipped gym,fat loss,split,both,intermediate,4,8,45-60 minutes,Thomas Schultz,1,20,False,True,https://www.muscleandstrength.com/workouts/4-day-shred-cycle-workout
4-week-absolute-leg-carnage-workout,4 Week Absolute Leg Carnage Workout,focused,fully equipped gym,muscle building,single muscle group,both,advanced,1,4,45-70 minutes,Eric Broser,4,30,False,True,https://www.muscleandstrength.com/workouts/4-week-absolute-leg-carnage-workout
4-week-arm-ageddon-blast-arm-workout,4 Week Arm-Ageddon Blast Arm Workout,focused,fully equipped gym,muscle building,single muscle group,both,advanced,1,4,45-70 minutes,Eric Broser,4,31,False,True,https://www.muscleandstrength.com/workouts/4-week-arm-ageddon-blast-arm-workout
4-week-beginner-core-strength,4 Week Beginner Core Strength Trainer,focused,home / small gym,strength,single muscle group,both,beginner,6,4,15-30 minutes,"Coach Dustin Myers, CSCS",4,48,False,True,https://www.muscleandstrength.com/workouts/4-week-beginner-core-strength
4-week-beginner-kettlebell-workout,4 Week Beginner Kettlebell Workout For Muscle Growth,program,home / small gym,muscle building,full body,both,beginner,4,4,30 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,0,False,True,https://www.muscleandstrength.com/workouts/4-week-beginner-kettlebell-workout
4-week-hamstring-helper-workout,4 Week Hamstring Helper Workout Program,focused,fully equipped gym,muscle building,single muscle group,men,intermediate,2,4,30-45 minutes,Eric Broser,2,6,False,True,https://www.muscleandstrength.com/workouts/4-week-hamstring-helper-workout
4-week-leg-lashing-blast-workout-program,4 Week Leg-Lashing Blast Workout Program,focused,fully equipped gym,muscle building,single muscle group,both,advanced,4,4,45-70 minutes,Eric Broser,4,31,False,True,https://www.muscleandstrength.com/workouts/4-week-leg-lashing-blast-workout-program
4-week-shoulder-shocker-workout,4 Week Shoulder Shocker to Ignite Muscle Growth,focused,fully equipped gym,muscle building,single muscle group,both,advanced,1,4,45-70 minutes,Eric Broser,4,17,False,True,https://www.muscleandstrength.com/workouts/4-week-shoulder-shocker-workout
4-week-v-cuts-abs-workout,4 Week “V Cuts Abs” Workout Routine,program,fully equipped gym,fat loss,split,both,intermediate,4,4,60-75 minutes,Josh England,4,40,False,True,https://www.muscleandstrength.com/workouts/4-week-v-cuts-abs-workout
4-week-workout-to-build-biceps-that-peak,4 Week Biceps Workout to Build Peaking Bi's,focused,fully equipped gym,muscle building,single muscle group,men,intermediate,2,4,15-45 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",2,5,False,True,https://www.muscleandstrength.com/workouts/4-week-workout-to-build-biceps-that-peak
40-beginner-back-workout,Beginner Back Workout,focused,fully equipped gym,muscle building,single muscle group,both,beginner,1,6,15-30 minutes,Doug Lawrenson,1,3,False,True,https://www.muscleandstrength.com/workouts/40-beginner-back-workout.html
41-beginner-forearm-workout,Beginner Forearm Workout,focused,home / small gym,muscle building,single muscle group,both,beginner,1,4,1-5 minutes,Doug Lawrenson,1,2,False,True,https://www.muscleandstrength.com/workouts/41-beginner-forearm-workout.html
42-beginner-ab-workout,Beginner Ab Workout,focused,body weight,muscle building,single muscle group,both,beginner,1,8,10-15 minutes,Doug Lawrenson,1,2,False,False,https://www.muscleandstrength.com/workouts/42-beginner-ab-workout.html
45-minute-kettlebell-bodyweight-fat-loss-workout,45-Minute Kettlebell and Bodyweight Workout for Fat Loss,full_workout,home / small gym,fat loss,full body,both,beginner,3,8,45 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,10,False,True,https://www.muscleandstrength.com/workouts/45-minute-kettlebell-bodyweight-fat-loss-workout
5-day-dumbbell-only-workout-split,Dumbbell Only Workout: 5 Day Dumbbell Workout Split,full_workout,home / small gym,muscle building,split,both,intermediate,5,12,45-60 minutes,Josh England,5,33,False,True,https://www.muscleandstrength.com/workouts/5-day-dumbbell-only-workout-split
5-day-home-muscle-building-workout,5 Day At Home Muscle Building Workout,full_workout,home / small gym,muscle building,split,both,beginner,5,10,30-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,22,False,True,https://www.muscleandstrength.com/workouts/5-day-home-muscle-building-workout
5-day-push-pull-legs-workout-program-cycle,"5 Day Push, Pull, Legs Workout Program Cycle",full_workout,fully equipped gym,muscle building,split,both,intermediate,5,8,45-60 minutes,Lewis Coldham,4,20,False,True,https://www.muscleandstrength.com/workouts/5-day-push-pull-legs-workout-program-cycle
5-day-womens-dumbbell-only-workout,5 Day Women’s Dumbbell Only Workout,program,home / small gym,muscle building,split,women,beginner,5,8,30-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,28,False,True,https://www.muscleandstrength.com/workouts/5-day-womens-dumbbell-only-workout
5-day-workout-routine-for-women,Workout Routine for Women: 5 Day Sample Women's Workout,full_workout,fully equipped gym,muscle building,split,women,intermediate,5,8,60-90 minutes,Josh England,5,28,False,True,https://www.muscleandstrength.com/workouts/5-day-workout-routine-for-women
5-week-full-body-kettlebell-workout,5 Week Full Body Kettlebell Workout,program,home / small gym,fat loss,full body,both,beginner,5,5,20-25 minutes,Walter Hinchman,5,15,False,True,https://www.muscleandstrength.com/workouts/5-week-full-body-kettlebell-workout
5000-rep-arm-specialization-program,"10 Week Program & 5,000 Rep Arm Specialization Program",focused,fully equipped gym,muscle building,single muscle group,both,intermediate,3,10,60-75 minutes,M&S Writers,5,46,False,True,https://www.muscleandstrength.com/workouts/5000-rep-arm-specialization-program
6-day-dumbbell-only-workout,Dumbbell Only Workout: 6 Day Dumbbell Workout Split,full_workout,home / small gym,muscle building,split,both,intermediate,6,12,45-70 minutes,Josh England,6,33,False,True,https://www.muscleandstrength.com/workouts/6-day-dumbbell-only-workout
6-day-low-volume-high-intensity-workout-split,6 Day Low Volume High-Intensity Workout Split,full_workout,fully equipped gym,muscle building,split,both,intermediate,6,6,60-75 minutes,Eric Roberts,6,37,False,True,https://www.muscleandstrength.com/workouts/6-day-low-volume-high-intensity-workout-split
6-day-powerbuilding-split-meal-plan,6 Day Push/Pull/Legs (PPL) Powerbuilding Workout Split & Meal Plan,full_workout,fully equipped gym,muscle building,split,both,intermediate,6,12,45-60 minutes,Nick Ludlow,7,51,False,True,https://www.muscleandstrength.com/workouts/6-day-powerbuilding-split-meal-plan
6-day-workout-and-guide-to-building-muscle-mass,6 Day Workout & Guide to Put on Muscle Mass,full_workout,fully equipped gym,muscle building,split,men,advanced,6,8,45-120 minutes,Steve Hess,3,30,False,True,https://www.muscleandstrength.com/workouts/6-day-workout-and-guide-to-building-muscle-mass
6-exercise-home-dumbbell-leg-workout,6 Exercise Home Dumbbell Workout For Legs,focused,home / small gym,muscle building,single muscle group,both,beginner,1,8,45-60 minutes,Thomas Schultz,1,6,False,True,https://www.muscleandstrength.com/workouts/6-exercise-home-dumbbell-leg-workout
6-week-arm-builder-workout-plan,6 Week Arm Builder Workout Plan,focused,fully equipped gym,muscle building,single muscle group,both,beginner,2,6,10-15 minutes,M&S Writers,3,12,False,True,https://www.muscleandstrength.com/workouts/6-week-arm-builder-workout-plan
6-week-bodyweight-only-workout,Body Blaster: Full Body Fat Loss Workout (No Equipment Necessary),full_workout,body weight,fat loss,full body,both,beginner,3,6,20-35 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",2,18,False,True,https://www.muscleandstrength.com/workouts/6-week-bodyweight-only-workout
6-week-extreme-fat-loss-workout,Extreme Fat Loss: 6 Week Fat Loss Workout Plan,program,home / small gym,fat loss,full body,both,intermediate,3,6,45-75 minutes,M&S Team,3,27,False,True,https://www.muscleandstrength.com/workouts/6-week-extreme-fat-loss-workout
6-week-lean-bulk,6-Week Lean Bulk Workout Program for Women,program,fully equipped gym,muscle building,split,women,beginner,5,6,60-75 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",6,32,False,True,https://www.muscleandstrength.com/workouts/6-week-lean-bulk
6-week-summer-workout-challenge,6 Week Summer Workout Challenge,program,home / small gym,fat loss,split,both,beginner,6,6,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,28,False,True,https://www.muscleandstrength.com/workouts/6-week-summer-workout-challenge
6-week-womens-strength-and-conditioning,6-Week Women’s Full Body Strength and Conditioning Workout,program,home / small gym,strength,full body,women,beginner,3,6,40 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,20,False,True,https://www.muscleandstrength.com/workouts/6-week-womens-strength-and-conditioning
8-week-bench-press-builder,8 Week Bench Press Builder,focused,home / small gym,strength,single muscle group,both,intermediate,4,8,60-75 minutes,Steve Shaw,2,3,False,True,https://www.muscleandstrength.com/workouts/8-week-bench-press-builder
8-week-bicep-tricep-builder,Awesome Arms: 8 Weeks to Better Biceps and Triceps,focused,fully equipped gym,muscle building,single muscle group,both,beginner,1,8,30-40 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,8,False,True,https://www.muscleandstrength.com/workouts/8-week-bicep-tricep-builder
8-week-cannonball-delts,8-Week Shoulder Workout to Build Cannonball Delts,focused,fully equipped gym,muscle building,single muscle group,both,intermediate,1,8,,"Roger \u201cRock\u201d Lockridge, Senior Writer",1,6,False,True,https://www.muscleandstrength.com/workouts/8-week-cannonball-delts
8-week-fat-loss-program-adults-40,8-Week Fat Loss Program for Adults 40+,program,fully equipped gym,fat loss,full body,both,beginner,3,8,50-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,18,False,True,https://www.muscleandstrength.com/workouts/8-week-fat-loss-program-adults-40
8-week-full-body-womens-workout-routine,8 Week Full Body Workout Routine for Women,program,fully equipped gym,muscle building,full body,women,beginner,3,8,45-70 minutes,Josh England,3,15,False,True,https://www.muscleandstrength.com/workouts/8-week-full-body-womens-workout-routine
8-week-giant-shoulders,Giant Sets For Giant Boulder Shoulders In 8 Weeks,focused,home / small gym,muscle building,single muscle group,both,intermediate,1,8,15-30 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,16,True,True,https://www.muscleandstrength.com/workouts/8-week-giant-shoulders
8-week-hit3-gym-workout,HIT3 Training: 8 Week Intense Muscle-Building Program,program,fully equipped gym,muscle building,split,both,advanced,3,8,60-75 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",3,53,False,True,https://www.muscleandstrength.com/workouts/8-week-hit3-gym-workout
8-week-mass-building-workout-for-beginners,8 Week Mass Building Workout for Beginners,program,fully equipped gym,muscle building,split,both,beginner,4,8,,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,28,False,True,https://www.muscleandstrength.com/workouts/8-week-mass-building-workout-for-beginners
8-week-novice-quick-start-workout-plan,8 Week Novice Quick Start Workout Plan,program,fully equipped gym,muscle building,full body,men,beginner,3,8,30-45 minutes,Steve Shaw,3,30,False,True,https://www.muscleandstrength.com/workouts/8-week-novice-quick-start-workout-plan
8-week-pec-pounder,Pec-Pounder: 8 Week Chest Workout to Shatter Your Plateau,focused,fully equipped gym,muscle building,single muscle group,men,intermediate,1,8,45-60 minutes,Eric Broser,4,18,False,True,https://www.muscleandstrength.com/workouts/8-week-pec-pounder
8-week-plateau-busting-pyramid-workout,8 Week Plateau Busting Pyramid Workout Program,program,fully equipped gym,muscle building,split,men,advanced,5,8,45-60 minutes,Alex Stewart,5,32,False,True,https://www.muscleandstrength.com/workouts/8-week-plateau-busting-pyramid-workout
8-week-spring-shred-program,Spring Shred: 8 Week Fat Loss Workout Plan,program,fully equipped gym,fat loss,split,both,advanced,5,8,45-60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,36,False,True,https://www.muscleandstrength.com/workouts/8-week-spring-shred-program
8-week-super-strength-workout,Super Strength: 8 Week Strength Building Workout for Beginners,program,fully equipped gym,strength,split,both,beginner,5,8,60 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",5,20,False,True,https://www.muscleandstrength.com/workouts/8-week-super-strength-workout
8-week-womens-beginner-fat-loss-workout,8 Week Beginner Fat Loss Workout for Women,program,fully equipped gym,fat loss,split,women,beginner,4,8,60-75 minutes,"Roger \u201cRock\u201d Lockridge, Senior Writer",4,29,False,True,https://www.muscleandstrength.com/workouts/8-week-womens-beginner-fat-loss-workout
8-week-womens-workout-routine,Women’s Workout Routine: 8 Week Sample Workout for Women,program,fully equipped gym,muscle building,split,women,beginner,4,8,60-75 minutes,Josh England,4,22,False,True,https://www.muscleandstrength.com/workouts/8-week-womens-workout-routine
8-weeks-stronger-deadlift,8 Weeks To A Stronger Deadlift,focused,fully equipped gym,strength,single muscle group,both,intermediate,1,8,30-45 minutes,Danny Takacs,1,3,False,True,https://www.muscleandstrength.com/workouts/8-weeks-stronger-deadlift
9-week-progressive-bodyweight-workout,9 Week Bodyweight Workout For Strength & Muscle Gains,program,home / small gym,general fitness,full body,both,beginner,3,9,45-75 minutes,Brad Borland,9,78,False,True,https://www.muscleandstrength.com/workouts/9-week-progressive-bodyweight-workout
a-b-2-day-workout-for-busy-people,A/B 2 Day Workout Routine for Busy People,full_workout,fully equipped gym,muscle building,full body,both,beginner,2,6,60-90 minutes,Josh England,2,10,False,True,https://www.muscleandstrength.com/workouts/a-b-2-day-workout-for-busy-people
abs-workout-women-8-weeks-flatter-stomach,Abs Workout For Women: 8 Weeks To A Flatter Stomach,focused,home / small gym,fat loss,single muscle group,women,beginner,2,8,15-30 minutes,Scott Trumbley,2,8,False,True,https://www.muscleandstrength.com/workouts/abs-workout-women-8-weeks-flatter-stomach
advanced-bodybuilder-workout,Advanced Bodybuilder Workout,full_workout,fully equipped gym,muscle building,split,both,advanced,5,12,45-60 minutes,M&S Writers,5,31,False,True,https://www.muscleandstrength.com/workouts/advanced-bodybuilder-workout.html
advanced-fat-loss-workout,10 Weeks to Shredded: Maximize Your Fat Loss with this Workout,program,fully equipped gym,fat loss,split,both,advanced,6,10,30-45 minutes,Team Allmax,5,39,False,True,https://www.muscleandstrength.com/workouts/advanced-fat-loss-workout
